Sample File	2018_07_25_19_52_28_SMPS.txt
AIM Version	 
Classifier Model	3082	Classifier S/N	3082001803002	Classifier Firmware Version	2.2
Neutralizer Model	3077	Neutralizer S/N	
Impactor (cm)	0.0508	Impactor S/N	5080597 
DMA Model	3081	DMA S/N	3081A1802004
DMA Inner Radius (cm)	0.937
DMA Outer Radius (cm)	1.961
DMA Characteristic Length (cm)	44.369
HV Polarity	NEG
Detector Model	3750	Detector S/N	3750180301
Detector Sample Flow (L/min)	1.00	Detector Inlet Flow (L/min)	1.00
Reference Gas Viscosity (Pa*s)	1.832450e-005
Reference Mean Free Path (m)	6.730000e-008
Reference Gas Temperature (K)	296.15
Reference Gas Pressure (kPa)	101.30
Sutherland Constant (K)	110.40
Tube Length (cm)	19.00
Tube Diameter (cm)	0.48
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Agglomerate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Units	dw/dlogDp
Weight	Number
Sample #	Date	Start Time	Sample Temp (C)	Sample Pressure (kPa)	Relative Humidity (%)	Mean Free Path (m)	Gas Viscosity (Pa*s)	Diameter Midpoint (nm)	1.02	1.06	1.09	1.13	1.18	1.22	1.26	1.31	1.36	1.41	1.46	1.51	1.57	1.63	1.68	1.75	1.81	1.88	1.95	2.02	2.09	2.17	2.25	2.33	2.41	2.50	2.59	2.69	2.79	2.89	3.00	3.11	3.22	3.34	3.46	3.59	3.72	3.85	4.00	4.14	4.29	4.45	4.61	4.78	4.96	5.14	5.33	5.52	5.73	5.94	6.15	6.38	6.61	6.85	7.10	7.37	7.64	7.91	8.20	8.51	8.82	9.14	9.47	9.82	10.2	10.6	10.9	11.3	11.8	12.2	12.6	13.1	13.6	14.1	14.6	15.1	15.7	16.3	16.8	17.5	18.1	18.8	19.5	20.2	20.9	21.7	22.5	23.3	24.1	25.0	25.9	26.9	27.9	28.9	30.0	31.1	32.2	33.4	34.6	35.9	37.2	38.5	40.0	41.4	42.9	44.5	46.1	47.8	49.6	51.4	53.3	55.2	57.3	59.4	61.5	63.8	66.1	68.5	71.0	73.7	76.4	79.1	82.0	85.1	88.2	91.4	94.7	98.2	101.8	105.5	109.4	113.4	117.6	121.9	126.3	131.0	135.8	140.7	145.9	151.2	156.8	162.5	168.5	174.7	181.1	187.7	194.6	201.7	209.1	216.7	224.7	232.9	241.4	250.3	259.5	269.0	278.8	289.0	299.6	310.6	322.0	333.8	346.0	358.7	371.8	385.4	399.5	414.2	429.4	445.1	461.4	478.3	495.8	514.0	532.8	552.3	572.5	593.5	615.3	637.8	661.2	685.4	710.5	736.5	763.5	791.5	820.5	850.5	881.7	914.0	947.5	982.2	Scan Time (s)	Retrace Time (s)	Scan Resolution (Hz)	Scans Per Sample	Sheath Flow (L/min)	Aerosol Flow (L/min)	Bypass Flow (L/min)	Low Voltage (V)	High Voltage (V)	Lower Size (nm)	Upper Size (nm)	Density (g/cm3)	td + 0.5 (s)	tf (s)	D50 (nm)	Median (nm)	Mean (nm)	Geo. Mean (nm)	Mode (nm)	Geo. Std. Dev.	Total Conc. (#/cm3)	Title	User Name	Sample ID	Instrument ID	Lab ID	Leak Test and Leakage Rate	Instrument Errors	Comment	
1	25/07/2018	19:52:28	29.9	95.4	6.0	7.35374e-008	1.86511e-005																																																																																																									6.06e+05	6.19e+05	6.08e+05	5.92e+05	5.50e+05	5.18e+05	5.18e+05	4.83e+05	4.72e+05	4.59e+05	4.43e+05	4.05e+05	3.84e+05	3.73e+05	3.61e+05	3.38e+05	3.09e+05	2.80e+05	2.76e+05	2.52e+05	2.16e+05	1.94e+05	1.88e+05	1.82e+05	1.74e+05	1.58e+05	1.47e+05	1.32e+05	1.35e+05	1.15e+05	1.07e+05	1.16e+05	1.21e+05	1.13e+05	1.09e+05	9.94e+04	9.56e+04	1.03e+05	9.78e+04	8.12e+04	6.13e+04	6.05e+04	6.05e+04	6.12e+04	5.57e+04	4.66e+04	3.64e+04	4.13e+04	5.47e+04	4.38e+04	1.04e+04	1.08e+04	1.96e+04	3.77e+04	4.33e+04	3.77e+04	2.62e+04	1.38e+03	0.00	0.00	0.00	0.00	0.00	1.20e+03	4.23e+04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	47	3	50	1	1.000	0.988	0.000	10.883	8854.275	40.679	1000.000	1.000	1.460	12.485	413.247	61.936	80.384	70.519	42.935	1.597	1.92e+05							Normal Scan	
2	25/07/2018	19:53:28	29.9	95.4	6.0	7.35374e-008	1.86511e-005																																																																																																									5.89e+05	6.08e+05	5.94e+05	5.68e+05	5.44e+05	5.05e+05	4.83e+05	4.54e+05	4.32e+05	4.31e+05	4.01e+05	3.65e+05	3.59e+05	3.31e+05	3.21e+05	3.09e+05	2.82e+05	2.71e+05	2.63e+05	2.42e+05	2.10e+05	2.07e+05	1.98e+05	1.74e+05	1.52e+05	1.42e+05	1.31e+05	1.32e+05	1.30e+05	1.20e+05	1.14e+05	1.12e+05	9.69e+04	9.64e+04	8.81e+04	9.15e+04	9.05e+04	9.58e+04	8.88e+04	7.47e+04	7.82e+04	8.47e+04	7.36e+04	5.38e+04	5.34e+04	6.50e+04	6.27e+04	5.24e+04	4.58e+04	2.57e+04	904.3	1.07e+04	2.13e+04	1.16e+04	7.74e+03	0.00	4.15e+03	1.68e+03	0.00	0.00	0.00	0.00	4.39e+03	3.50e+04	5.54e+04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	47	3	50	1	1.000	0.988	0.000	10.881	8855.128	40.679	1000.000	1.000	1.460	12.486	413.302	61.742	80.376	70.394	42.935	1.600	1.82e+05							Normal Scan	
3	25/07/2018	19:54:28	29.9	95.4	6.0	7.35374e-008	1.86511e-005																																																																																																									5.20e+05	4.99e+05	4.92e+05	4.77e+05	4.54e+05	4.45e+05	4.29e+05	4.15e+05	4.14e+05	3.98e+05	3.59e+05	3.30e+05	3.23e+05	3.28e+05	3.17e+05	2.92e+05	2.67e+05	2.37e+05	2.20e+05	2.19e+05	2.12e+05	2.01e+05	1.89e+05	1.73e+05	1.51e+05	1.30e+05	1.16e+05	1.14e+05	1.04e+05	9.40e+04	8.96e+04	1.06e+05	1.01e+05	1.03e+05	8.92e+04	7.65e+04	6.71e+04	7.15e+04	8.76e+04	8.82e+04	8.01e+04	7.41e+04	7.09e+04	5.58e+04	4.82e+04	3.68e+04	3.12e+04	4.14e+04	4.21e+04	3.32e+04	7.58e+03	6.54e+03	7.11e+03	1.02e+04	1.59e+04	1.02e+04	6.05e+03	5.23e+03	3.76e+03	5.25e+03	4.03e+03	0.00	0.00	0.00	2.35e+04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	47	3	50	1	1.000	0.988	0.000	10.880	8855.554	40.679	1000.000	1.000	1.460	12.487	413.329	62.501	79.420	70.412	41.418	1.574	1.63e+05							Normal Scan	
4	25/07/2018	19:55:28	29.9	95.4	6.0	7.35374e-008	1.86511e-005																																																																																																									5.66e+05	5.20e+05	4.67e+05	4.34e+05	4.36e+05	4.46e+05	4.38e+05	4.29e+05	4.00e+05	3.82e+05	3.71e+05	3.74e+05	3.51e+05	3.24e+05	3.00e+05	2.81e+05	2.73e+05	2.75e+05	2.43e+05	1.98e+05	1.73e+05	1.72e+05	1.71e+05	1.57e+05	1.41e+05	1.34e+05	1.31e+05	1.26e+05	1.22e+05	1.14e+05	1.18e+05	1.05e+05	9.52e+04	8.64e+04	8.61e+04	8.73e+04	8.40e+04	8.07e+04	7.12e+04	7.54e+04	7.88e+04	7.75e+04	6.19e+04	4.88e+04	3.97e+04	3.83e+04	4.02e+04	4.51e+04	4.39e+04	3.43e+04	2.19e+04	2.58e+04	1.00e+04	9.12e+03	0.00	0.00	6.04e+03	0.00	0.00	0.00	577.6	0.00	0.00	0.00	1.68e+04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	47	3	50	1	1.000	0.988	0.000	10.881	8854.880	40.679	1000.000	1.000	1.460	12.486	413.286	62.393	78.813	70.182	41.418	1.565	1.63e+05							Normal Scan	
5	25/07/2018	19:56:28	29.8	95.4	6.0	7.35251e-008	1.86492e-005																																																																																																									5.07e+05	4.96e+05	4.78e+05	4.68e+05	4.56e+05	4.47e+05	4.15e+05	3.75e+05	3.54e+05	3.63e+05	3.56e+05	3.39e+05	3.13e+05	2.88e+05	2.56e+05	2.32e+05	2.24e+05	2.33e+05	2.27e+05	2.15e+05	2.02e+05	1.84e+05	1.73e+05	1.64e+05	1.53e+05	1.33e+05	1.13e+05	1.11e+05	1.10e+05	1.04e+05	9.72e+04	9.37e+04	9.01e+04	7.72e+04	6.80e+04	6.49e+04	7.27e+04	8.13e+04	8.93e+04	8.75e+04	7.64e+04	5.57e+04	4.29e+04	4.40e+04	4.73e+04	4.22e+04	3.87e+04	4.58e+04	4.97e+04	3.82e+04	1.75e+04	0.00	0.00	0.00	6.69e+03	1.50e+04	1.79e+04	7.43e+03	0.00	0.00	0.00	0.00	1.91e+03	3.73e+03	1.07e+04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	47	3	50	1	1.000	0.988	0.000	10.884	8853.273	40.679	1000.000	1.000	1.460	12.484	413.224	61.886	78.913	70.050	41.418	1.572	1.54e+05							Normal Scan	
6	25/07/2018	19:57:28	29.8	95.4	6.0	7.35251e-008	1.86492e-005																																																																																																									4.73e+05	4.32e+05	4.22e+05	4.18e+05	4.15e+05	4.22e+05	3.95e+05	3.55e+05	3.56e+05	3.72e+05	3.63e+05	3.38e+05	2.90e+05	2.69e+05	2.77e+05	2.79e+05	2.62e+05	2.42e+05	2.06e+05	1.80e+05	1.74e+05	1.72e+05	1.62e+05	1.60e+05	1.48e+05	1.30e+05	1.20e+05	1.13e+05	1.08e+05	1.03e+05	8.92e+04	8.07e+04	8.54e+04	9.30e+04	8.69e+04	7.75e+04	6.81e+04	6.94e+04	6.20e+04	5.64e+04	5.87e+04	6.09e+04	6.03e+04	6.61e+04	5.62e+04	4.14e+04	2.82e+04	2.86e+04	3.23e+04	3.55e+04	1.84e+04	2.05e+04	1.41e+04	1.36e+04	1.63e+04	1.85e+04	6.56e+03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.84e+04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	47	3	50	1	1.000	0.988	0.000	10.886	8852.385	40.679	1000.000	1.000	1.460	12.483	413.167	62.657	79.975	70.865	41.418	1.576	1.49e+05							Normal Scan	
7	25/07/2018	19:58:28	29.8	95.4	6.0	7.35251e-008	1.86492e-005																																																																																																									4.61e+05	4.48e+05	4.16e+05	4.13e+05	3.96e+05	3.91e+05	3.95e+05	3.79e+05	3.42e+05	3.24e+05	3.20e+05	3.17e+05	2.96e+05	2.73e+05	2.59e+05	2.49e+05	2.36e+05	2.16e+05	2.06e+05	2.01e+05	1.94e+05	1.72e+05	1.40e+05	1.25e+05	1.32e+05	1.31e+05	1.18e+05	1.10e+05	1.03e+05	9.86e+04	8.73e+04	8.11e+04	7.95e+04	8.38e+04	7.49e+04	6.01e+04	4.91e+04	6.05e+04	6.89e+04	6.98e+04	7.14e+04	5.57e+04	4.08e+04	3.35e+04	3.90e+04	3.95e+04	3.72e+04	4.28e+04	4.80e+04	3.82e+04	3.88e+03	0.00	0.00	0.00	1.10e+04	1.61e+04	1.73e+04	1.06e+04	0.00	0.00	0.00	0.00	0.00	1.16e+04	3.60e+04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	47	3	50	1	1.000	0.988	0.000	10.885	8852.920	40.679	1000.000	1.000	1.460	12.484	413.201	62.399	79.985	70.495	41.418	1.584	1.43e+05							Normal Scan	
8	25/07/2018	19:59:28	29.8	95.4	6.0	7.35251e-008	1.86492e-005																																																																																																									4.52e+05	4.07e+05	3.78e+05	3.72e+05	3.75e+05	3.84e+05	3.70e+05	3.60e+05	3.60e+05	3.46e+05	3.07e+05	2.81e+05	2.83e+05	2.76e+05	2.53e+05	2.32e+05	2.23e+05	2.21e+05	1.91e+05	1.61e+05	1.45e+05	1.54e+05	1.51e+05	1.37e+05	1.22e+05	1.18e+05	1.16e+05	1.11e+05	1.03e+05	9.67e+04	9.83e+04	9.34e+04	7.73e+04	7.31e+04	6.76e+04	6.84e+04	6.60e+04	6.20e+04	5.53e+04	4.85e+04	4.54e+04	4.11e+04	3.77e+04	3.63e+04	3.99e+04	3.68e+04	3.31e+04	3.11e+04	3.41e+04	2.83e+04	1.67e+04	1.99e+04	1.71e+04	1.66e+04	1.32e+04	9.55e+03	7.16e+03	3.85e+03	0.00	319.5	1.19e+04	1.60e+04	6.96e+03	637.0	1.50e+04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	47	3	50	1	1.000	0.988	0.000	10.887	8851.890	40.679	1000.000	1.000	1.460	12.482	413.135	62.380	80.213	70.659	41.418	1.586	1.36e+05							Normal Scan	
9	25/07/2018	20:00:28	29.8	95.4	6.0	7.35190e-008	1.86483e-005																																																																																																									4.38e+05	4.07e+05	3.66e+05	3.62e+05	3.65e+05	3.61e+05	3.48e+05	3.39e+05	3.47e+05	3.35e+05	3.27e+05	3.19e+05	2.88e+05	2.62e+05	2.37e+05	2.23e+05	2.23e+05	2.21e+05	2.07e+05	1.85e+05	1.59e+05	1.53e+05	1.47e+05	1.27e+05	1.16e+05	1.12e+05	1.14e+05	1.09e+05	9.43e+04	8.90e+04	9.36e+04	9.05e+04	8.56e+04	7.16e+04	6.35e+04	5.96e+04	5.90e+04	6.87e+04	7.00e+04	6.63e+04	6.26e+04	5.87e+04	4.51e+04	4.21e+04	3.11e+04	3.11e+04	3.84e+04	3.71e+04	2.81e+04	1.40e+04	0.00	2.92e+03	7.85e+03	1.93e+04	1.88e+04	1.59e+04	604.4	0.00	0.00	0.00	0.00	2.58e+03	66.7	3.05e+03	1.39e+04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	47	3	50	1	1.000	0.988	0.000	10.887	8851.550	40.679	1000.000	1.000	1.460	12.482	413.134	62.500	79.028	70.371	41.418	1.562	1.34e+05							Normal Scan	
10	25/07/2018	20:01:28	29.8	95.4	6.0	7.35190e-008	1.86483e-005																																																																																																									4.03e+05	4.01e+05	3.99e+05	3.72e+05	3.72e+05	3.76e+05	3.47e+05	3.31e+05	3.27e+05	3.00e+05	2.88e+05	2.95e+05	2.85e+05	2.73e+05	2.57e+05	2.47e+05	2.27e+05	1.99e+05	1.82e+05	1.75e+05	1.61e+05	1.50e+05	1.54e+05	1.44e+05	1.21e+05	1.05e+05	9.73e+04	9.96e+04	1.07e+05	1.01e+05	9.30e+04	9.02e+04	8.64e+04	7.84e+04	7.20e+04	5.85e+04	5.80e+04	5.84e+04	5.71e+04	4.88e+04	4.84e+04	5.64e+04	5.35e+04	4.83e+04	3.83e+04	3.06e+04	2.44e+04	2.73e+04	3.27e+04	3.44e+04	1.79e+04	1.96e+04	1.52e+04	1.17e+04	3.61e+03	3.07e+03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.79e+03	1.53e+04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	47	3	50	1	1.000	0.988	0.000	10.887	8851.725	40.679	1000.000	1.000	1.460	12.483	413.145	62.879	79.012	70.382	41.418	1.562	1.32e+05							Normal Scan	
